Country,GoldTotal,SilverTotal,BronzeTotal
Australia,346,455,516
Canada,463,438,451
China,350,347,292
France,496,605,664
Germany,1350,1290,1396
Great Britain,675,736,644
Hungary,430,331,368
Italy,575,531,531
Japan,247,305,362
Netherlands,287,340,413
Poland,117,195,253
Russia,390,368,411
Spain,110,243,136
Sweden,479,522,535
United States,2626,1633,1357
