Year,Event,Country,SubRegion,NumberOfParticipants,RankByYear
2014,Winter,Paraguay,South America,1,10
1956,Equestrian,Germany,Western Europe,9,1
1956,Equestrian,Soviet Union,Eastern Europe,9,1
1956,Equestrian,Sweden,Northern Europe,9,1
1956,Equestrian,Switzerland,Western Europe,9,1
1956,Equestrian,France,Western Europe,8,2
1956,Equestrian,Great Britain,Northern Europe,8,2
1956,Equestrian,United States,North America,8,2
1956,Equestrian,Argentina,South America,7,3
1956,Equestrian,Finland,Northern Europe,7,3
1956,Equestrian,Portugal,Southwestern Europe,7,3
1956,Equestrian,Denmark,Northern Europe,6,4
1956,Equestrian,Ireland,NorthwesternEurope,6,4
1956,Equestrian,Italy,Southern Europe,6,4
1956,Equestrian,Romania,Eastern Europe,6,4
1956,Equestrian,Spain,Southern Europe,6,4
1956,Equestrian,Turkey,Southeastern Europe,6,4
1956,Equestrian,Austria,Western Europe,5,5
1956,Equestrian,Australia,Australia and New Zealand,4,6
1956,Equestrian,Bulgaria,Eastern Europe,4,6
1956,Equestrian,Canada,North America,4,6
1956,Equestrian,Norway,Northern Europe,4,6
1956,Equestrian,Belgium,Western Europe,3,7
1956,Equestrian,Brazil,South America,3,7
1956,Equestrian,Egypt,Western Asia,3,7
1956,Equestrian,Hungary,Eastern Europe,3,7
1956,Equestrian,Venezuela,South America,3,7
1956,Equestrian,Cambodia,Southeast Asia,2,8
1956,Equestrian,Japan,Eastern Asia,2,8
1956,Equestrian,Netherlands,Western Europe,1,9
