Event,Country,SportType,NumberOfParticipations
Winter,Netherlands,Bobsleigh,37
Winter,Poland,Bobsleigh,34
Winter,Australia,Bobsleigh,32
Winter,Hungary,Bobsleigh,17
Winter,Spain,Bobsleigh,13
Winter,Sweden,Cross Country Skiing,248
Winter,Italy,Cross Country Skiing,231
Winter,Germany,Cross Country Skiing,230
Winter,United States,Cross Country Skiing,195
Winter,Canada,Cross Country Skiing,122
Winter,Japan,Cross Country Skiing,105
Winter,Russia,Cross Country Skiing,100
Winter,Poland,Cross Country Skiing,97
Winter,Great Britain,Cross Country Skiing,54
Winter,China,Cross Country Skiing,52
Winter,Spain,Cross Country Skiing,38
Winter,Australia,Cross Country Skiing,25
Winter,Hungary,Cross Country Skiing,24
Winter,United States,Figure Skating,273
Winter,Canada,Figure Skating,212
Winter,Germany,Figure Skating,191
Winter,Great Britain,Figure Skating,162
Winter,Russia,Figure Skating,96
Winter,Japan,Figure Skating,83
Winter,Italy,Figure Skating,79
Winter,China,Figure Skating,64
Winter,Hungary,Figure Skating,60
Winter,Australia,Figure Skating,38
Winter,Poland,Figure Skating,33
Winter,Sweden,Figure Skating,30
Winter,Spain,Figure Skating,11
Winter,Netherlands,Figure Skating,8
Winter,United States,Freestyle Skiing,105
Winter,Canada,Freestyle Skiing,102
Winter,Russia,Freestyle Skiing,72
Winter,Australia,Freestyle Skiing,60
Winter,Japan,Freestyle Skiing,48
Winter,Sweden,Freestyle Skiing,47
Winter,China,Freestyle Skiing,39
Winter,Germany,Freestyle Skiing,29
Winter,Italy,Freestyle Skiing,26
Winter,Great Britain,Freestyle Skiing,22
Winter,Spain,Freestyle Skiing,7
Winter,Poland,Freestyle Skiing,2
Winter,Netherlands,Freestyle Skiing,1
Winter,United States,Ice Hockey,498
Winter,Sweden,Ice Hockey,486
Winter,Canada,Ice Hockey,469
Winter,Germany,Ice Hockey,434
Winter,Poland,Ice Hockey,219
Winter,Russia,Ice Hockey,215
Winter,Italy,Ice Hockey,191
Winter,Japan,Ice Hockey,180
Winter,China,Ice Hockey,58
Winter,Great Britain,Ice Hockey,48
Winter,Hungary,Ice Hockey,40
Winter,Netherlands,Ice Hockey,20
Winter,Australia,Ice Hockey,17
Winter,Germany,Luge,182
Winter,United States,Luge,134
Winter,Italy,Luge,123
Winter,Canada,Luge,79
Winter,Russia,Luge,55
Winter,Poland,Luge,49
Winter,Japan,Luge,48
Winter,Great Britain,Luge,36
Winter,Sweden,Luge,31
Winter,Spain,Luge,6
Winter,Australia,Luge,5
Winter,Germany,Ski Jumping,106
Winter,United States,Ski Jumping,95
Winter,Japan,Ski Jumping,79
Winter,Poland,Ski Jumping,63
Winter,Canada,Ski Jumping,55
Winter,Sweden,Ski Jumping,52
Winter,Italy,Ski Jumping,46
Winter,Russia,Ski Jumping,27
Winter,Hungary,Ski Jumping,7
Winter,China,Ski Jumping,4
Winter,Spain,Ski Jumping,4
Winter,Great Britain,Ski Jumping,2
Winter,United States,Speed Skating,286
Winter,Japan,Speed Skating,227
Winter,Netherlands,Speed Skating,208
Winter,Germany,Speed Skating,204
Winter,Canada,Speed Skating,192
Winter,Sweden,Speed Skating,120
Winter,China,Speed Skating,108
Winter,Russia,Speed Skating,96
Winter,Italy,Speed Skating,78
Winter,Poland,Speed Skating,60
Winter,Great Britain,Speed Skating,42
Winter,Hungary,Speed Skating,24
Winter,Australia,Speed Skating,23
